"Name","Live Bytes","Live Objects"
"jdk.jfr.internal.TypeLibrary$$Lambda$124.0x0000000800ce9e88","16 B (0%)","1 (0%)"
"org.lwjgl.opengl.GL$ICDStatic","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.Sync$1","16 B (0%)","1 (0%)"
"java.net.URL$3","16 B (0%)","1 (0%)"
"sun.rmi.transport.Transport$$Lambda$190.0x0000000800d648d8","16 B (0%)","1 (0%)"
"sun.rmi.server.LoaderHandler$$Lambda$213.0x0000000800d7f390","16 B (0%)","1 (0%)"
"com.jme3.alloc.examples.TestReleaseDirectMemory$$Lambda$83.0x0000000800ca9ed8","16 B (0%)","1 (0%)"
"jdk.jfr.internal.TypeLibrary$$Lambda$117.0x0000000800ce1f58","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$$Lambda$196.0x0000000800d690d8","16 B (0%)","1 (0%)"
"java.util.Spliterators$EmptySpliterator$OfLong","16 B (0%)","1 (0%)"
"java.util.logging.Handler[]","16 B (0%)","1 (0%)"
"java.lang.management.ManagementFactory$$Lambda$150.0x0000000800d11d48","16 B (0%)","1 (0%)"
"jdk.jfr.FlightRecorderPermission$InternalAccess","16 B (0%)","1 (0%)"
"com.jme3.app.DebugKeysAppState$DebugKeyListener","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda$102.0x0000000800cd34c8","16 B (0%)","1 (0%)"
"jdk.jfr.internal.dcmd.AbstractDCmd$$Lambda$136.0x0000000800cfeea8","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCAckHandler$$Lambda$215.0x0000000800d58e00","16 B (0%)","1 (0%)"
"java.lang.invoke.StringConcatFactory$2","16 B (0%)","1 (0%)"
"java.lang.invoke.StringConcatFactory$1","16 B (0%)","1 (0%)"
"java.lang.invoke.StringConcatFactory$3","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPChannel$$Lambda$205.0x0000000800d7ab18","16 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Config$BuiltinFilterFactory","16 B (0%)","1 (0%)"
"jdk.jfr.internal.TypeLibrary$$Lambda$118.0x0000000800ce21f0","16 B (0%)","1 (0%)"
"java.rmi.server.RMIClassLoader$2","16 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef$$Lambda$183.0x0000000800d34d68","16 B (0%)","1 (0%)"
"sun.management.ManagementFactoryHelper$$Lambda$161.0x0000000800d29470","16 B (0%)","1 (0%)"
"java.lang.ref.Cleaner$1","16 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef$$Lambda$184.0x0000000800d34f88","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$6.0x800000011","16 B (0%)","1 (0%)"
"sun.util.logging.internal.LoggingProviderImpl","16 B (0%)","1 (0%)"
"com.jme3.renderer.lwjgl.LwjglGLFboGL3","16 B (0%)","1 (0%)"
"java.util.Collections$EmptyIterator","16 B (0%)","1 (0%)"
"com.jme3.alloc.examples.TestReleaseDirectMemory$$Lambda$82.0x0000000800ca9cb0","16 B (0%)","1 (0%)"
"sun.misc.Unsafe","16 B (0%)","1 (0%)"
"jdk.internal.platform.CgroupSubsystemFactory$$Lambda$130.0x0000000800cf0490","16 B (0%)","1 (0%)"
"jdk.internal.jimage.ImageStringsReader","16 B (0%)","1 (0%)"
"java.util.logging.LogManager$VisitedLoggers","16 B (0%)","1 (0%)"
"com.jme3.renderer.lwjgl.LwjglGL","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$44.0x0000000800c1d1f8","16 B (0%)","1 (0%)"
"jdk.management.jfr.SettingDescriptorInfo$1","16 B (0%)","1 (0%)"
"sun.awt.PlatformGraphicsInfo$$Lambda$74.0x0000000800c68060","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPDirectSocketFactory","16 B (0%)","1 (0%)"
"jdk.jfr.internal.dcmd.DCmdDump$$Lambda$160.0x0000000800d28270","16 B (0%)","1 (0%)"
"com.jme3.audio.lwjgl.LwjglAL","16 B (0%)","1 (0%)"
"java.util.logging.Level$KnownLevel$$Lambda$39.0x80000004d","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$44.0x800000052","16 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider","16 B (0%)","1 (0%)"
"java.util.Spliterators$EmptySpliterator$OfDouble","16 B (0%)","1 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter","16 B (0%)","1 (0%)"
"sun.rmi.server.UnicastServerRef$HashToMethod_Maps","16 B (0%)","1 (0%)"
"sun.net.www.protocol.jar.JarFileFactory","16 B (0%)","1 (0%)"
"sun.java2d.Disposer","16 B (0%)","1 (0%)"
"com.jme3.input.lwjgl.GlfwMouseInput$$Lambda$75.0x0000000800c94000","16 B (0%)","1 (0%)"
"jdk.internal.misc.ScopedMemoryAccess","16 B (0%)","1 (0%)"
"java.util.regex.Pattern$Node","16 B (0%)","1 (0%)"
"jdk.jfr.internal.dcmd.DCmdStop$$Lambda$158.0x0000000800d27e30","16 B (0%)","1 (0%)"
"java.text.MessageFormat$Field","16 B (0%)","1 (0%)"
"sun.net.www.protocol.jrt.Handler","16 B (0%)","1 (0%)"
"java.lang.CharacterData00","16 B (0%)","1 (0%)"
"sun.util.cldr.CLDRLocaleProviderAdapter$$Lambda$51.0x800000059","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda$99.0x0000000800cd2e68","16 B (0%)","1 (0%)"
"java.security.Provider[]","16 B (0%)","1 (0%)"
"jdk.internal.math.FloatingDecimal$1","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor1","16 B (0%)","1 (0%)"
"java.net.InetAddress$1","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$34.0x0000000800c1b568","16 B (0%)","1 (0%)"
"javax.imageio.spi.IIORegistry","16 B (0%)","1 (0%)"
"org.lwjgl.system.Configuration$StateInit$$Lambda$37.0x0000000800c1eb38","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor8","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor9","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor6","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$1","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor7","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor4","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor5","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor2","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor3","16 B (0%)","1 (0%)"
"sun.rmi.server.UnicastRef","16 B (0%)","1 (0%)"
"sun.rmi.transport.ObjectTable$$Lambda$195.0x0000000800d68a88","16 B (0%)","1 (0%)"
"jdk.jfr.internal.SettingsManager","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda$100.0x0000000800cd3088","16 B (0%)","1 (0%)"
"java.util.logging.LogManager$LoggingProviderAccess","16 B (0%)","1 (0%)"
"org.lwjgl.system.MemoryUtil$$Lambda$45.0x0000000800c207a8","16 B (0%)","1 (0%)"
"java.util.regex.CharPredicates$$Lambda$64.0x0000000800c65528","16 B (0%)","1 (0%)"
"java.time.Clock$SystemClock","16 B (0%)","1 (0%)"
"java.util.concurrent.ConcurrentSkipListSet","16 B (0%)","1 (0%)"
"java.awt.ImageCapabilities","16 B (0%)","1 (0%)"
"sun.nio.ch.ExtendedSocketOption$1","16 B (0%)","1 (0%)"
"java.util.stream.Nodes$EmptyNode$OfInt","16 B (0%)","1 (0%)"
"sun.awt.AppContext$6","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$$Lambda$193.0x0000000800d64f38","16 B (0%)","1 (0%)"
"jdk.internal.module.ModulePatcher","16 B (0%)","1 (0%)"
"org.lwjgl.system.Configuration$StateInit$$Lambda$39.0x0000000800c1efe8","16 B (0%)","1 (0%)"
"sun.reflect.generics.tree.VoidDescriptor","16 B (0%)","1 (0%)"
"sun.rmi.server.Util$$Lambda$178.0x0000000800d331a8","16 B (0%)","1 (0%)"
"sun.awt.AppContext$GetAppContextLock","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPEndpoint$$Lambda$188.0x0000000800d63de8","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfInt$$Lambda$61.0x800000063","16 B (0%)","1 (0%)"
"jdk.internal.module.ArchivedBootLayer","16 B (0%)","1 (0%)"
"java.lang.Module$$Lambda$86.0x0000000800cc76a8","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda$11.0x80000001a","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$155.0x0000000800d225e8","16 B (0%)","1 (0%)"
"java.util.stream.Nodes$EmptyNode$OfRef","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor7","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor8","16 B (0%)","1 (0%)"
"org.lwjgl.opengl.GL$$Lambda$60.0x0000000800c34230","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor9","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor3","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor4","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor5","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor6","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor1","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedConstructorAccessor2","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$163.0x0000000800d298d0","16 B (0%)","1 (0%)"
"java.lang.management.ManagementFactory$$Lambda$149.0x0000000800d11b08","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$$Lambda$200.0x0000000800d6bde0","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor34","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor33","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor32","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor31","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor38","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor37","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor36","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor35","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor39","16 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl$$Lambda$143.0x0000000800d0c9a8","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor30","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor23","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor22","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor21","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor20","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor27","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor26","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor25","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor24","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl_Stub","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor29","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor28","16 B (0%)","1 (0%)"
"org.lwjgl.opengl.GL$$Lambda$59.0x0000000800c34000","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor12","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor11","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor10","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor16","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor15","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor14","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$57.0x0000000800c2a208","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor13","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor19","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor18","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor17","16 B (0%)","1 (0%)"
"java.util.stream.Nodes$EmptyNode$OfDouble","16 B (0%)","1 (0%)"
"jdk.jfr.internal.TypeLibrary$$Lambda$123.0x0000000800ce9c38","16 B (0%)","1 (0%)"
"java.lang.invoke.VarHandleByteArrayAsInts$ArrayHandle$$Lambda$185.0x0000000800d3f8d8","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MBeanAnalyzer$MethodOrder","16 B (0%)","1 (0%)"
"java.lang.management.MonitorInfo[]","16 B (0%)","1 (0%)"
"sun.util.logging.PlatformLogger","16 B (0%)","1 (0%)"
"jdk.jfr.internal.TypeLibrary$$Lambda$119.0x0000000800ce2440","16 B (0%)","1 (0%)"
"sun.util.locale.InternalLocaleBuilder$CaseInsensitiveChar","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$2$$Lambda$201.0x0000000800d6c430","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda$14.0x80000001d","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfRef$$Lambda$12.0x80000001b","16 B (0%)","1 (0%)"
"java.lang.ref.Cleaner","16 B (0%)","1 (0%)"
"com.sun.management.internal.PlatformMBeanProviderImpl","16 B (0%)","1 (0%)"
"org.lwjgl.system.Platform$$Lambda$40.0x0000000800c1f240","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$35.0x0000000800c1b788","16 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl_Stub","16 B (0%)","1 (0%)"
"java.lang.Runtime","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$31.0x0000000800c1af08","16 B (0%)","1 (0%)"
"org.lwjgl.system.Platform$$Lambda$42.0x0000000800c1f6c0","16 B (0%)","1 (0%)"
"java.util.concurrent.ThreadPoolExecutor$AbortPolicy","16 B (0%)","1 (0%)"
"java.util.LinkedHashSet","16 B (0%)","1 (0%)"
"java.util.logging.Logging","16 B (0%)","1 (0%)"
"sun.rmi.server.LoaderHandler$$Lambda$214.0x0000000800d7f5b0","16 B (0%)","1 (0%)"
"java.lang.String$CaseInsensitiveComparator","16 B (0%)","1 (0%)"
"com.sun.management.internal.HotSpotDiagnostic","16 B (0%)","1 (0%)"
"java.lang.ApplicationShutdownHooks$1","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory","16 B (0%)","1 (0%)"
"com.jme3.asset.plugins.ClasspathLocator","16 B (0%)","1 (0%)"
"sun.java2d.Disposer$$Lambda$80.0x0000000800c7bf98","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor53","16 B (0%)","1 (0%)"
"java.io.FileDescriptor$1","16 B (0%)","1 (0%)"
"javax.management.JMX","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor52","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor51","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor50","16 B (0%)","1 (0%)"
"com.sun.jmx.remote.internal.ServerCommunicatorAdmin$Timeout","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor45","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor44","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor43","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor42","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor49","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor48","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor47","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor46","16 B (0%)","1 (0%)"
"jdk.jfr.FlightRecorder","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor41","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedMethodAccessor40","16 B (0%)","1 (0%)"
"jdk.jfr.internal.consumer.FileAccess$UnPrivileged","16 B (0%)","1 (0%)"
"com.jme3.renderer.lwjgl.LwjglGLExt","16 B (0%)","1 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock","16 B (0%)","1 (0%)"
"com.jme3.util.LWJGLBufferAllocator$ConcurrentLWJGLBufferAllocator","16 B (0%)","1 (0%)"
"java.awt.Toolkit$3","16 B (0%)","1 (0%)"
"jdk.jfr.events.ActiveSettingEvent$1","16 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Config$$Lambda$174.0x0000000800d30e70","16 B (0%)","1 (0%)"
"java.util.regex.CharPredicates$$Lambda$63.0x0000000800c652c8","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$32.0x0000000800c1b128","16 B (0%)","1 (0%)"
"javax.management.remote.rmi.RMIServerImpl_Stub","16 B (0%)","1 (0%)"
"org.lwjgl.system.Configuration$StateInit$$Lambda$38.0x0000000800c1ed90","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda$101.0x0000000800cd32a8","16 B (0%)","1 (0%)"
"jdk.internal.module.ModuleTarget","16 B (0%)","1 (0%)"
"org.lwjgl.openal.AL$ICDStatic","16 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Config$$Lambda$175.0x0000000800d314d8","16 B (0%)","1 (0%)"
"java.util.regex.Pattern$LastNode","16 B (0%)","1 (0%)"
"java.util.regex.CharPredicates$$Lambda$36.0x0000000800c58320","16 B (0%)","1 (0%)"
"sun.net.www.protocol.jar.Handler","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MBeanInstantiator","16 B (0%)","1 (0%)"
"sun.reflect.generics.tree.LongSignature","16 B (0%)","1 (0%)"
"java.util.logging.SimpleFormatter$$Lambda$11.0x0000000800c4a238","16 B (0%)","1 (0%)"
"java.lang.reflect.ProxyGenerator$$Lambda$111.0x0000000800ccbd18","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$29.0x0000000800c1aac8","16 B (0%)","1 (0%)"
"com.jme3.font.plugins.BitmapFontLoader","16 B (0%)","1 (0%)"
"org.lwjgl.system.Library$$Lambda$49.0x0000000800c21228","16 B (0%)","1 (0%)"
"java.util.regex.Pattern$$Lambda$52.0x0000000800c59de8","16 B (0%)","1 (0%)"
"sun.util.locale.provider.TimeZoneNameUtility$TimeZoneNameGetter","16 B (0%)","1 (0%)"
"com.jme3.light.WeightedProbeBlendingStrategy","16 B (0%)","1 (0%)"
"sun.rmi.runtime.Log$$Lambda$179.0x0000000800d339b8","16 B (0%)","1 (0%)"
"com.jme3.system.JmeSystemDelegate$$Lambda$9.0x0000000800c0f9f8","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.DescriptorCache","16 B (0%)","1 (0%)"
"java.util.EnumMap$1","16 B (0%)","1 (0%)"
"sun.util.resources.cldr.provider.CLDRLocaleDataMetaInfo","16 B (0%)","1 (0%)"
"java.lang.Throwable[]","16 B (0%)","1 (0%)"
"java.nio.Bits$1","16 B (0%)","1 (0%)"
"org.lwjgl.openal.AL$$Lambda$78.0x0000000800c93a58","16 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Config$Global$$Lambda$176.0x0000000800d31b68","16 B (0%)","1 (0%)"
"javax.management.MBeanServerBuilder","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPChannel$$Lambda$207.0x0000000800d7af58","16 B (0%)","1 (0%)"
"java.util.Collections$EmptyEnumeration","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$7.0x800000016","16 B (0%)","1 (0%)"
"sun.nio.fs.NativeBuffers$1","16 B (0%)","1 (0%)"
"java.lang.Terminator$1","16 B (0%)","1 (0%)"
"jdk.jfr.internal.PlatformRecorder$$Lambda$131.0x0000000800cfcb40","16 B (0%)","1 (0%)"
"sun.nio.fs.LinuxFileSystemProvider","16 B (0%)","1 (0%)"
"com.jme3.input.RawInputListener[]","16 B (0%)","1 (0%)"
"jdk.jfr.internal.SecuritySupport$Privileged","16 B (0%)","1 (0%)"
"java.nio.file.attribute.FileAttribute[]","16 B (0%)","1 (0%)"
"org.lwjgl.openal.ALC$$Lambda$76.0x0000000800c92740","16 B (0%)","1 (0%)"
"java.net.InetAddress$PlatformNameService","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$162.0x0000000800d296b0","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda$98.0x0000000800cd2c48","16 B (0%)","1 (0%)"
"java.net.URI$1","16 B (0%)","1 (0%)"
"sun.util.calendar.Gregorian","16 B (0%)","1 (0%)"
"java.util.stream.Nodes$EmptyNode$OfLong","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfInt$$Lambda$62.0x800000064","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$45.0x800000053","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl_Skel","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfInt$$Lambda$60.0x800000062","16 B (0%)","1 (0%)"
"java.util.Collections$EmptySet","16 B (0%)","1 (0%)"
"com.jme3.util.TempVars$1","16 B (0%)","1 (0%)"
"java.lang.invoke.ClassSpecializer$1","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$8.0x800000017","16 B (0%)","1 (0%)"
"java.lang.management.LockInfo[]","16 B (0%)","1 (0%)"
"com.jme3.system.lwjgl.LwjglWindow$$Lambda$33.0x0000000800c1b348","16 B (0%)","1 (0%)"
"com.jme3.texture.plugins.AWTLoader","16 B (0%)","1 (0%)"
"java.awt.image.DataBuffer$1","16 B (0%)","1 (0%)"
"com.jme3.lwjgl3.utils.APIUtil$$Lambda$58.0x0000000800c2b760","16 B (0%)","1 (0%)"
"java.io.ObjectInputFilter$Config$Global$$Lambda$177.0x0000000800d31db0","16 B (0%)","1 (0%)"
"java.lang.management.DefaultPlatformMBeanProvider$5$$Lambda$153.0x0000000800d22168","16 B (0%)","1 (0%)"
"java.util.regex.Pattern$$Lambda$47.0x0000000800c59b88","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor27","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor28","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor29","16 B (0%)","1 (0%)"
"java.lang.ref.Reference$1","16 B (0%)","1 (0%)"
"java.util.logging.Level$KnownLevel$$Lambda$42.0x800000050","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor20","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor21","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor22","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor23","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor24","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor25","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor26","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor16","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor17","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor18","16 B (0%)","1 (0%)"
"jdk.net.LinuxSocketOptions","16 B (0%)","1 (0%)"
"jdk.internal.reflect.GeneratedSerializationConstructorAccessor19","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$$Lambda$192.0x0000000800d64d18","16 B (0%)","1 (0%)"
"java.util.logging.LogRecord$CallerFinder$$Lambda$12.0x0000000800c50ab0","16 B (0%)","1 (0%)"
"java.util.function.Function$$Lambda$154.0x0000000800d223a8","16 B (0%)","1 (0%)"
"org.lwjgl.system.Platform$$Lambda$43.0x0000000800c1f900","16 B (0%)","1 (0%)"
"java.text.DecimalFormatSymbols$$Lambda$59.0x800000061","16 B (0%)","1 (0%)"
"java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock","16 B (0%)","1 (0%)"
"java.lang.reflect.Proxy$$Lambda$106.0x0000000800cda4f0","16 B (0%)","1 (0%)"
"java.util.zip.ZipFile$1","16 B (0%)","1 (0%)"
"sun.security.provider.NativePRNG","16 B (0%)","1 (0%)"
"java.util.Locale$Builder","16 B (0%)","1 (0%)"
"jdk.jfr.internal.JVM","16 B (0%)","1 (0%)"
"com.jme3.audio.lwjgl.LwjglEFX","16 B (0%)","1 (0%)"
"java.io.FilePermission$1","16 B (0%)","1 (0%)"
"java.security.ProtectionDomain$JavaSecurityAccessImpl","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPChannel$$Lambda$206.0x0000000800d7ad38","16 B (0%)","1 (0%)"
"java.util.stream.Collectors$$Lambda$5.0x800000010","16 B (0%)","1 (0%)"
"java.util.stream.FindOps$FindSink$OfInt$$Lambda$63.0x800000065","16 B (0%)","1 (0%)"
"java.lang.invoke.VarHandleByteArrayAsLongs$ArrayHandle$$Lambda$186.0x0000000800d60290","16 B (0%)","1 (0%)"
"com.sun.jmx.remote.security.SubjectDelegator","16 B (0%)","1 (0%)"
"sun.rmi.runtime.RuntimeUtil$$Lambda$199.0x0000000800d69b78","16 B (0%)","1 (0%)"
"java.lang.System$LoggerFinder$$Lambda$79.0x0000000800c6ef38","16 B (0%)","1 (0%)"
"sun.rmi.transport.DGCImpl$$Lambda$198.0x0000000800d69518","16 B (0%)","1 (0%)"
"jdk.jfr.internal.instrument.JDKEvents$$Lambda$104.0x0000000800cd3908","16 B (0%)","1 (0%)"
"java.util.Spliterators$EmptySpliterator$OfRef","16 B (0%)","1 (0%)"
"sun.management.jmxremote.ConnectorBootstrap$PermanentExporter","16 B (0%)","1 (0%)"
"sun.rmi.transport.tcp.TCPTransport$$Lambda$194.0x0000000800d671e0","16 B (0%)","1 (0%)"
"com.jme3.texture.TextureProcessor","16 B (0%)","1 (0%)"
"org.lwjgl.system.Platform$$Lambda$41.0x0000000800c1f480","16 B (0%)","1 (0%)"
"com.sun.jmx.mbeanserver.MXBeanIntrospector","16 B (0%)","1 (0%)"
